B,G,R,Target
52,68,190,merah
49,67,187,merah
43,66,187,merah
53,67,203,merah
50,66,202,merah
44,64,200,merah
39,63,201,merah
41,65,200,merah
43,65,203,merah
45,66,200,merah
48,67,204,merah
51,67,204,merah
47,68,203,merah
47,45,219,merah
48,45,219,merah
50,45,219,merah
45,44,218,merah
41,44,213,merah
43,45,214,merah
47,45,214,merah
43,44,213,merah
45,44,213,merah
44,44,214,merah
48,45,218,merah
49,45,219,merah
56,53,47,hitam
60,52,54,hitam
61,52,53,hitam
68,62,57,hitam
66,61,56,hitam
66,61,56,hitam
69,61,56,hitam
66,61,57,hitam
66,61,55,hitam
67,61,55,hitam
69,61,56,hitam
66,60,54,hitam
62,58,51,hitam
60,60,60,hitam
61,58,61,hitam
59,57,59,hitam
55,56,58,hitam
57,58,52,hitam
59,58,50,hitam
57,59,48,hitam
61,59,52,hitam
61,59,52,hitam
59,57,54,hitam
66,62,63,hitam
67,60,63,hitam
93,127,127,kuning
96,126,128,kuning
94,126,128,kuning
98,125,127,kuning
93,125,127,kuning
90,127,131,kuning
93,127,130,kuning
91,128,128,kuning
90,128,127,kuning
90,127,125,kuning
87,126,124,kuning
89,126,124,kuning
88,127,127,kuning
91,127,125,kuning
92,127,126,kuning
97,132,129,kuning
97,131,131,kuning
97,130,130,kuning
100,130,129,kuning
98,130,129,kuning
104,131,129,kuning
99,132,129,kuning
101,132,129,kuning
98,130,129,kuning
95,131,128,kuning
62,32,23,biru tua
59,33,20,biru tua
63,34,27,biru tua
62,33,26,biru tua
62,31,25,biru tua
60,32,25,biru tua
59,32,22,biru tua
58,32,24,biru tua
58,33,22,biru tua
56,31,24,biru tua
56,31,24,biru tua
56,31,24,biru tua
63,36,26,biru tua
65,35,28,biru tua
63,36,27,biru tua
65,35,27,biru tua
64,34,27,biru tua
61,34,27,biru tua
62,33,24,biru tua
61,33,24,biru tua
64,34,25,biru tua
62,34,26,biru tua
62,35,24,biru tua
65,35,27,biru tua
64,36,25,biru tua
63,34,27,biru tua
148,98,47,biru muda
147,96,46,biru muda
146,96,46,biru muda
148,96,46,biru muda
146,96,48,biru muda
141,96,48,biru muda
141,96,50,biru muda
142,97,46,biru muda
143,96,44,biru muda
145,95,44,biru muda
122,96,55,biru muda
125,96,53,biru muda
123,97,53,biru muda
127,96,54,biru muda
122,95,54,biru muda
126,95,52,biru muda
126,94,54,biru muda
121,93,54,biru muda
124,94,56,biru muda
122,94,57,biru muda
126,95,63,biru muda
126,96,60,biru muda
125,97,61,biru muda
129,97,62,biru muda
130,97,60,biru muda
